Master Protein Accessions,Master Protein Descriptions
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
P05556,Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2 - [ITB1_HUMAN]
P05556,Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2 - [ITB1_HUMAN]
P05556,Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2 - [ITB1_HUMAN]
P05556,Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2 - [ITB1_HUMAN]
P53778,Mitogen-activated protein kinase 12 OS=Homo sapiens GN=MAPK12 PE=1 SV=3 - [MK12_HUMAN]
P53778,Mitogen-activated protein kinase 12 OS=Homo sapiens GN=MAPK12 PE=1 SV=3 - [MK12_HUMAN]
P53778,Mitogen-activated protein kinase 12 OS=Homo sapiens GN=MAPK12 PE=1 SV=3 - [MK12_HUMAN]
P53778,Mitogen-activated protein kinase 12 OS=Homo sapiens GN=MAPK12 PE=1 SV=3 - [MK12_HUMAN]
P53778,Mitogen-activated protein kinase 12 OS=Homo sapiens GN=MAPK12 PE=1 SV=3 - [MK12_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O15264,Mitogen-activated protein kinase 13 OS=Homo sapiens GN=MAPK13 PE=1 SV=1 - [MK13_HUMAN]
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens GN=HGS PE=1 SV=1 - [HGS_HUMAN]
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens GN=HGS PE=1 SV=1 - [HGS_HUMAN]
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens GN=HGS PE=1 SV=1 - [HGS_HUMAN]
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens GN=HGS PE=1 SV=1 - [HGS_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P29320,Ephrin type-A receptor 3 OS=Homo sapiens GN=EPHA3 PE=1 SV=2 - [EPHA3_HUMAN]
Q86YV5,Tyrosine-protein kinase SgK223 OS=Homo sapiens GN=SGK223 PE=1 SV=4 - [SG223_HUMAN]
P21980,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2 - [TGM2_HUMAN]
P21980,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2 - [TGM2_HUMAN]
Q96J84,Kin of IRRE-like protein 1 OS=Homo sapiens GN=KIRREL PE=1 SV=2 - [KIRR1_HUMAN]
Q9NUM4,Transmembrane protein 106B OS=Homo sapiens GN=TMEM106B PE=1 SV=2 - [T106B_HUMAN]
P00338,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2 - [LDHA_HUMAN]
P00338,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2 - [LDHA_HUMAN]
P00338,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2 - [LDHA_HUMAN]
P00338,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2 - [LDHA_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3 - [CDK1_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
P07195,L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2 - [LDHB_HUMAN]
P07195,L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2 - [LDHB_HUMAN]
O00459,Phosphatidylinositol 3-kinase regulatory subunit beta OS=Homo sapiens GN=PIK3R2 PE=1 SV=2 - [P85B_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q16539,Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3 - [MK14_HUMAN]
Q15464,SH2 domain-containing adapter protein B OS=Homo sapiens GN=SHB PE=1 SV=2 - [SHB_HUMAN]
P16144,Integrin beta-4 OS=Homo sapiens GN=ITGB4 PE=1 SV=5 - [ITB4_HUMAN]
P27986,Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Homo sapiens GN=PIK3R1 PE=1 SV=2 - [P85A_HUMAN]
Q13546,Receptor-interacting serine/threonine-protein kinase 1 OS=Homo sapiens GN=RIPK1 PE=1 SV=3 - [RIPK1_HUMAN]
P23528,Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3 - [COF1_HUMAN]
P23528,Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3 - [COF1_HUMAN]
P23528,Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3 - [COF1_HUMAN]
P23528,Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3 - [COF1_HUMAN]
Q96RT1,Protein LAP2 OS=Homo sapiens GN=ERBB2IP PE=1 SV=2 - [LAP2_HUMAN]
Q96RT1,Protein LAP2 OS=Homo sapiens GN=ERBB2IP PE=1 SV=2 - [LAP2_HUMAN]
Q96RT1,Protein LAP2 OS=Homo sapiens GN=ERBB2IP PE=1 SV=2 - [LAP2_HUMAN]
O75369,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2 - [FLNB_HUMAN]
Q9NZV1,Cysteine-rich motor neuron 1 protein OS=Homo sapiens GN=CRIM1 PE=1 SV=1 - [CRIM1_HUMAN]
Q8TEW0,Partitioning defective 3 homolog OS=Homo sapiens GN=PARD3 PE=1 SV=2 - [PARD3_HUMAN]
O15117,FYN-binding protein OS=Homo sapiens GN=FYB PE=1 SV=2 - [FYB_HUMAN]
O15117,FYN-binding protein OS=Homo sapiens GN=FYB PE=1 SV=2 - [FYB_HUMAN]
O15117,FYN-binding protein OS=Homo sapiens GN=FYB PE=1 SV=2 - [FYB_HUMAN]
Q15464,SH2 domain-containing adapter protein B OS=Homo sapiens GN=SHB PE=1 SV=2 - [SHB_HUMAN]
Q15464,SH2 domain-containing adapter protein B OS=Homo sapiens GN=SHB PE=1 SV=2 - [SHB_HUMAN]
Q15464,SH2 domain-containing adapter protein B OS=Homo sapiens GN=SHB PE=1 SV=2 - [SHB_HUMAN]
Q15464,SH2 domain-containing adapter protein B OS=Homo sapiens GN=SHB PE=1 SV=2 - [SHB_HUMAN]
Q15464,SH2 domain-containing adapter protein B OS=Homo sapiens GN=SHB PE=1 SV=2 - [SHB_HUMAN]
Q9UEU0,Vesicle transport through interaction with t-SNAREs homolog 1B OS=Homo sapiens GN=VTI1B PE=1 SV=3 - [VTI1B_HUMAN]
Q9UEU0,Vesicle transport through interaction with t-SNAREs homolog 1B OS=Homo sapiens GN=VTI1B PE=1 SV=3 - [VTI1B_HUMAN]
P14923,Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3 - [PLAK_HUMAN]
O75815,Breast cancer anti-estrogen resistance protein 3 OS=Homo sapiens GN=BCAR3 PE=1 SV=1 - [BCAR3_HUMAN]
O75815,Breast cancer anti-estrogen resistance protein 3 OS=Homo sapiens GN=BCAR3 PE=1 SV=1 - [BCAR3_HUMAN]
O75815,Breast cancer anti-estrogen resistance protein 3 OS=Homo sapiens GN=BCAR3 PE=1 SV=1 - [BCAR3_HUMAN]
O75815,Breast cancer anti-estrogen resistance protein 3 OS=Homo sapiens GN=BCAR3 PE=1 SV=1 - [BCAR3_HUMAN]
Q00341,Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2 - [VIGLN_HUMAN]
O75063,Glycosaminoglycan xylosylkinase OS=Homo sapiens GN=FAM20B PE=1 SV=1 - [XYLK_HUMAN]
O75063,Glycosaminoglycan xylosylkinase OS=Homo sapiens GN=FAM20B PE=1 SV=1 - [XYLK_HUMAN]
Q12774,Rho guanine nucleotide exchange factor 5 OS=Homo sapiens GN=ARHGEF5 PE=1 SV=3 - [ARHG5_HUMAN]
P06241;P07947,Tyrosine-protein kinase Fyn OS=Homo sapiens GN=FYN PE=1 SV=3 - [FYN_HUMAN]|Tyrosine-protein kinase Yes OS=Homo sapiens GN=YES1 PE=1 SV=3 - [YES_HUMAN]
Q03135,Caveolin-1 OS=Homo sapiens GN=CAV1 PE=1 SV=4 - [CAV1_HUMAN]
Q03135,Caveolin-1 OS=Homo sapiens GN=CAV1 PE=1 SV=4 - [CAV1_HUMAN]
Q03135,Caveolin-1 OS=Homo sapiens GN=CAV1 PE=1 SV=4 - [CAV1_HUMAN]
Q03135,Caveolin-1 OS=Homo sapiens GN=CAV1 PE=1 SV=4 - [CAV1_HUMAN]
Q03135,Caveolin-1 OS=Homo sapiens GN=CAV1 PE=1 SV=4 - [CAV1_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN]
Q9NWQ8,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 OS=Homo sapiens GN=PAG1 PE=1 SV=2 - [PHAG1_HUMAN]
Q96A22,Uncharacterized protein C11orf52 OS=Homo sapiens GN=C11orf52 PE=2 SV=2 - [CK052_HUMAN]
P45983,Mitogen-activated protein kinase 8 OS=Homo sapiens GN=MAPK8 PE=1 SV=2 - [MK08_HUMAN]
Q9UPX8,SH3 and multiple ankyrin repeat domains protein 2 OS=Homo sapiens GN=SHANK2 PE=1 SV=3 - [SHAN2_HUMAN]
Q9UPX8,SH3 and multiple ankyrin repeat domains protein 2 OS=Homo sapiens GN=SHANK2 PE=1 SV=3 - [SHAN2_HUMAN]
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11 PE=1 SV=2 - [PTN11_HUMAN]
Q06124,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11 PE=1 SV=2 - [PTN11_HUMAN]
P08727,"Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4 - [K1C19_HUMAN]"
P08727,"Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4 - [K1C19_HUMAN]"
P52799,Ephrin-B2 OS=Homo sapiens GN=EFNB2 PE=1 SV=1 - [EFNB2_HUMAN]
P52799,Ephrin-B2 OS=Homo sapiens GN=EFNB2 PE=1 SV=1 - [EFNB2_HUMAN]
Q9Y3B8,"Oligoribonuclease, mitochondrial OS=Homo sapiens GN=REXO2 PE=1 SV=3 - [ORN_HUMAN]"
P14618,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4 - [KPYM_HUMAN]
P14618,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4 - [KPYM_HUMAN]
P14618,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4 - [KPYM_HUMAN]
P14618,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4 - [KPYM_HUMAN]
P14618,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4 - [KPYM_HUMAN]
O75955,Flotillin-1 OS=Homo sapiens GN=FLOT1 PE=1 SV=3 - [FLOT1_HUMAN]
Q06481,Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 PE=1 SV=2 - [APLP2_HUMAN]
Q9NUM4,Transmembrane protein 106B OS=Homo sapiens GN=TMEM106B PE=1 SV=2 - [T106B_HUMAN]
Q9NUM4,Transmembrane protein 106B OS=Homo sapiens GN=TMEM106B PE=1 SV=2 - [T106B_HUMAN]
O14828,Secretory carrier-associated membrane protein 3 OS=Homo sapiens GN=SCAMP3 PE=1 SV=3 - [SCAM3_HUMAN]
O14828,Secretory carrier-associated membrane protein 3 OS=Homo sapiens GN=SCAMP3 PE=1 SV=3 - [SCAM3_HUMAN]
Q9UPZ9,Serine/threonine-protein kinase ICK OS=Homo sapiens GN=ICK PE=1 SV=1 - [ICK_HUMAN]
Q9UPZ9,Serine/threonine-protein kinase ICK OS=Homo sapiens GN=ICK PE=1 SV=1 - [ICK_HUMAN]
Q92600,Cell differentiation protein RCD1 homolog OS=Homo sapiens GN=RQCD1 PE=1 SV=1 - [RCD1_HUMAN]
Q14247,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2 - [SRC8_HUMAN]
P45983,Mitogen-activated protein kinase 8 OS=Homo sapiens GN=MAPK8 PE=1 SV=2 - [MK08_HUMAN]
P45983,Mitogen-activated protein kinase 8 OS=Homo sapiens GN=MAPK8 PE=1 SV=2 - [MK08_HUMAN]
P45983,Mitogen-activated protein kinase 8 OS=Homo sapiens GN=MAPK8 PE=1 SV=2 - [MK08_HUMAN]
P45983,Mitogen-activated protein kinase 8 OS=Homo sapiens GN=MAPK8 PE=1 SV=2 - [MK08_HUMAN]
P45983,Mitogen-activated protein kinase 8 OS=Homo sapiens GN=MAPK8 PE=1 SV=2 - [MK08_HUMAN]
P02786,Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2 - [TFR1_HUMAN]
P02786,Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2 - [TFR1_HUMAN]
Q16881,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3 - [TRXR1_HUMAN]"
Q16881,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3 - [TRXR1_HUMAN]"
O00459,Phosphatidylinositol 3-kinase regulatory subunit beta OS=Homo sapiens GN=PIK3R2 PE=1 SV=2 - [P85B_HUMAN]
O75815,Breast cancer anti-estrogen resistance protein 3 OS=Homo sapiens GN=BCAR3 PE=1 SV=1 - [BCAR3_HUMAN]
Q8N3R9,MAGUK p55 subfamily member 5 OS=Homo sapiens GN=MPP5 PE=1 SV=3 - [MPP5_HUMAN]
P21333,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4 - [FLNA_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
P49023,Paxillin OS=Homo sapiens GN=PXN PE=1 SV=3 - [PAXI_HUMAN]
Q8N4X5,Actin filament-associated protein 1-like 2 OS=Homo sapiens GN=AFAP1L2 PE=1 SV=1 - [AF1L2_HUMAN]
Q8N4X5,Actin filament-associated protein 1-like 2 OS=Homo sapiens GN=AFAP1L2 PE=1 SV=1 - [AF1L2_HUMAN]
Q13480,GRB2-associated-binding protein 1 OS=Homo sapiens GN=GAB1 PE=1 SV=2 - [GAB1_HUMAN]
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]"
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]"
P25106,Atypical chemokine receptor 3 OS=Homo sapiens GN=ACKR3 PE=1 SV=3 - [ACKR3_HUMAN]
P06733,Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2 - [ENOA_HUMAN]
P06733,Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2 - [ENOA_HUMAN]
P11413,Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4 - [G6PD_HUMAN]
P11413,Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4 - [G6PD_HUMAN]
P11413,Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4 - [G6PD_HUMAN]
O15145,Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3 - [ARPC3_HUMAN]
P07948,Tyrosine-protein kinase Lyn OS=Homo sapiens GN=LYN PE=1 SV=3 - [LYN_HUMAN]
Q5T5P2,Sickle tail protein homolog OS=Homo sapiens GN=KIAA1217 PE=1 SV=2 - [SKT_HUMAN]
Q9Y490,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN]
Q9Y490,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN]
Q12929,Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens GN=EPS8 PE=1 SV=1 - [EPS8_HUMAN]
Q12929,Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens GN=EPS8 PE=1 SV=1 - [EPS8_HUMAN]
Q07912,Activated CDC42 kinase 1 OS=Homo sapiens GN=TNK2 PE=1 SV=3 - [ACK1_HUMAN]
P07948,Tyrosine-protein kinase Lyn OS=Homo sapiens GN=LYN PE=1 SV=3 - [LYN_HUMAN]
